"image","name","oldPrice","currentPrice","CPU","RAM","Ổ cứng","Card","M.Hình","Optional","Card rời"
"https://laptop88.vn/media/product/8123_untitled_5.jpg","[New 100%] Laptop Gaming ASUS ROG Zephyrus Duo 16 GX650PZ-NM031W - AMD Ryzen 9 - 7945HX | RTX 4080 | 16 Inch QHD+","132.990.000đ","108.000.000 đ","","32GB DDR5 ","SSD 1TB NVMe","Geforce RTX 4080 12GB","16"" QHD+ 240Hz 100% DCI-P3",,
"https://laptop88.vn/media/product/8121_helios_16.jpg","[New 100%] Laptop Acer Predator Helios 16 PH16-71-72BV - Intel Core i7-13700HX | RTX4070 8GB | 16 inch 2K+ 240Hz ","55.990.000đ","54.990.000 đ","","16GB DDR5 ","SSD 512GB NMVe","Nvidia RTX4070 8GB","16"" 2K+ 240Hz",,
"https://laptop88.vn/media/product/8116_aspire_5_15.png","[New 100%] Laptop Acer Aspire 5 A515-58P-34RJ NX.KHJSV.003  - Intel i3-1315u | 8GB | 512GB | 15 inch FHD IPS","13.090.000đ","12.990.000 đ","","8GB ","SSD 512GB","","15"" FHD IPS",,
"https://laptop88.vn/media/product/8114_44961_laptop_msi_cyborg_15_a12ucx_281vn__7_.jpg","[New 100%] Laptop Gaming MSI Cyborg 15 A12VF-267VN - Intel Core i7-12650H | RTX 4060 | 15.6 inch Full HD 144Hz","37.990.000đ","27.490.000 đ","","8GB DDR5","SSD 512GB NMVe","","15.6"" Full HD 144Hz",,
"https://laptop88.vn/media/product/8112_45073_4.jpg","[New 100%] Laptop Acer Predator Helios Neo PHN16-71-74BA - Intel Core i7-13700HX | RTX 4060 8GB | 16 Icnh 2K+ 165Hz 100% DCI-P3 ","49.990.000đ","41.990.000 đ","","16GB DDR5 ","SSD 512GB NMVe","Nvidia RTX 4060 8GB","16"" 2K+ 165Hz 100% DCI-P3",,
"https://laptop88.vn/media/product/8111_45073_4.jpg","[New 100%] Laptop Acer Predator Helios Neo PHN16-71-59TN | Intel Core i5-13500HX | RTX 4060 8GB | 16 Inch 2K+ 165Hz 100% sRGB","42.990.000đ","38.990.000 đ","","2x8GB DDR5 ","SSD 512GB NMVe","Nvidia RTX4060 8GB","16"" 2K+ 165Hz 100% sRGB",,
"https://laptop88.vn/media/product/8110_45073_4.jpg","[New 100%] Laptop Acer Predator Helios Neo PHN16-71-7460 - Intel Core i7-13700HX | RTX4050 6GB | 16 Inch 2K+ 165Hz","40.990.000đ","37.990.000 đ","","8GB DDR5 ","SSD 512GB NMVe","Nvidia RTX 4050 6GB","16"" 2K+ 165Hz 100% sRGB",,
"https://laptop88.vn/media/product/8108_","[New 100%] Laptop Acer Aspire 3 A314-23M-R4TX - R5 7520u | 14 inch Full HD IPS","13.290.000đ","12.990.000 đ","","8GB ","SSD 512GB","","14"" Full HD IPS",,
"https://laptop88.vn/media/product/8106_45073_4.jpg","[New 100%] Laptop Acer Predator Helios Neo PHN16-71-54CD | Intel Core i5-13500HX | RTX 4050 6GB | 16 Inch 2K+ 165Hz 100% sRGB","","34.990.000 đ","","8GB DDR5","SSD 512GB NMVe","Nvidia RTX 4050 6GB","16"" 2K+, 165Hz 100% sRGB",,
"https://laptop88.vn/media/product/pro_poster_8083.jpg","Laptop Cũ Gaming MSI GF63 Thin 11SC - Intel Core i5-11400H | GTX 1650 | 15.6 inch Full HD","15.990.000đ","11.990.000 đ","","8GB DDR4","SSD 512GB NVMe","","15.6"" Full HD",,
"https://laptop88.vn/media/product/pro_poster_8080.jpg","[New 100%] Laptop Dell Gaming G16 7630 R1948W - Intel Core i9-13900H | RTX 4060 | 16 inch 2K  240Hz 100% DCI-P3","49.990.000đ","43.990.000 đ","i9-13900HX","16GB DDR5","SSD 1TB NVMe","NVIDIA RTX 4060","16"" 2K 240Hz 100% DCI-P3",,
"https://laptop88.vn/media/product/8074_7431_xps_9320_4.jpeg","Laptop Cũ Dell XPS Plus 9320 - Intel Core i7-1260P | RAM 16GB | 13.3 Inch 3.5K OLED","33.990.000đ","23.990.000 đ","i7 - 1260P","16GB DDR5","SSD 512GB","Intel Xe Graphics","13.3"" 3.5K OLED",,
"https://laptop88.vn/media/product/pro_poster_8073.jpg","[New 100%] Laptop Dell Inspiron 14 5430 R1605S | Intel Core  i5 - 1340P | 14 Inch Full HD+","25.990.000đ","16.790.000 đ","","16GB DDR5","SSD 512GB NVMe","","14.0"" Full HD+ ",,
"https://laptop88.vn/media/product/8068_ideapad_slim_5_light_14abr8_ct2_04__1_.jpg","[New 100%] Laptop Lenovo IdeaPad Slim 5 Light 14ABR8 82XS0007VN | AMD Ryzen 7-7730U | 14 inch Full HD 100% sRGB","22.990.000đ","18.290.000 đ","R7 - 7730U","8GB LPDDR4","SSD 512GB NVMe","AMD Radeon Graphics","14"" FHD 100% sRGB",,
"https://laptop88.vn/media/product/8064_44620_laptop_asus_zenbook_14_oled_ux3402va_km203w_90nb10g6_m00970__6_.jpg","[New 100%] Laptop Asus Zenbook 14 OLED UX3402VA-KM203W | Intel Core i5-1340P | 14 Inch OLED WQXGA+","29.990.000đ","23.990.000 đ","","16GB LPDDR5","SSD 512GB M.2 NVMe","Intel Iris Xe Graphics","14""  OLED WQXGA+",,
"https://laptop88.vn/media/product/8063_","[New 100%] Laptop Asus Vivobook S 14 Flip TP3402VA-LZ118W - Intel Core i9-13900H | 14 Inch WUXGA","27.990.000đ","23.490.000 đ","","16GB DDR4","SSD 512GB M.2 NVMe","Intel UHD Graphics","14""  WUXGA (1920 x 1200)",,
"https://laptop88.vn/media/product/8061_44733_laptop_asus_rog_flow_z13_gz301vu_mu301w__5.jpg","[New 100%] Laptop Asus ROG Flow Z13 GZ301VU MU301W - Intel Core i9 - 13900H | RTX 4050 6GB | 13.4 Inch QHD+ Touch","","Liên Hệ","","16GB LPDDR5 ","SSD 1TB NVMe","GeForce RTX 4050 6GB","13.4"" QHD+ 165Hz",,
"https://laptop88.vn/media/product/pro_poster_8053.jpg","Laptop Cũ Dell G15 5520 - Intel Core  i7-12700H | RTX 3060 | 15.6 Inch Full HD","29.990.000đ","21.990.000 đ"," i7-12700H","16GB DDR5","SSD 512GB","NVIDIA RTX 3060 ","15.6 Inch Full HD",,
"https://laptop88.vn/media/product/8044_12529_asus_zenbook_14_flip_oled_up3404_7.jpg","[New 100%] Laptop  Asus Zenbook 14 Flip OLED UP3404VA-KN038W - Intel Core I5-1340P | 14 inch 2.8K OLED","29.990.000đ","26.490.000 đ","","16GB LPDDR5","SSD 512GB NVMe","","14.0"" 2.8K OLED",,
"https://laptop88.vn/media/product/8043_12531_asus_zenbook_14_flip_oled_up3404_silver__7.jpg","[New 100%] Laptop Asus Zenbook 14 Flip OLED UP3404VA-KN039W - Intel Core  i7-1360P | 14 inch 2.8K OLED","33.990.000đ","30.190.000 đ","","16GB LPDDR5","SSD 512GB NVMe","","14.0"" 2.8K OLED",,
"https://laptop88.vn/media/product/8042_12532_asus_zenbook_14_oled_ux3402va__5.jpg","[New 100%] Laptop Asus Zenbook 14 OLED UX3402VA-KM068W - Intel Core i7-1360P | 14 Inch 2.8K OLED","33.990.000đ","26.990.000 đ","","16GB LPDDR5","SSD 512GB NVMe","","14.0"" 2.8K OLED",,
"https://laptop88.vn/media/product/8041_12533_asus_vivobook_s_14_flip_tn3402ya_7.jpg","[New 100%] Laptop Asus Vivobook S 14 Flip TN3402YA-LZ026W - AMD Ryzen 5-7530U | 14 Inch WUXGA","","Liên Hệ","","16GB DDR4","SSD 512GB NVMe","","14.0 Inch WUXGA ",,
"https://laptop88.vn/media/product/8037____nh_1.jpg","[New 100%] Laptop Asus Zenbook Pro 14 Duo OLED UX8402VU P1028W - Intel Core i9-13900H | RTX 4050| 14.5 Inch WQ+OLED","68.990.000đ","57.490.000 đ","","32GB LPDDR5","SSD 1TB NVMe","","14.5"" WQ + OLED",,
"https://laptop88.vn/media/product/8034_12387_msi_creator_m16_b13v_2.jpg","[New 100%] Laptop MSI Creator M16 B13VE 830VN - Intel Core i7-13700H | RTX4050 6GB | 16 Inch Full HD+ 144Hz","39.990.000đ","36.990.000 đ","","16GB DDR5","SSD 512GB NVMe","","16"" Full HD+ 144Hz",,
"https://laptop88.vn/media/product/8032_nb123b0q4_2.png","[New 100%] Laptop MSI Creator Z16 HX Studio B13VFTO 063VN | Intel Core  i7-13700HX | RTX 4060 8GB | 16 Inch QHD+ 120Hz","79.990.000đ","64.990.000 đ","","32GB DDR5","SSD 2TB NVMe","Nvidia RTX 4060 8GB","16.0"" QHD+ 120Hz",,
"https://laptop88.vn/media/product/8031_untitled_1.jpg","[New 100%] Laptop MSI Creator Z17 HX Studio A13VGT 068VN - Intel Core i7-13700HX | RTX4070 8GB | 17 Inch QHD+ 165Hz","88.990.000đ","75.990.000 đ","","32GB DDR5","SSD 2TB NVMe"," RTX4070 8GB","17.0"" QHD+ 165Hz",,
"https://laptop88.vn/media/product/8030_untitled_1.jpg","[New 100%] Laptop MSI Creator Z16 HX Studio B13VGTO 062VN | Intel Core  i9-13950HX | RTX 4070 8GB | 16 Inch QHD+ 120Hz","89.990.000đ","81.990.000 đ","","64GB DDR5","SSD 2TB NVMe","Nvidia RTX4070 8GB","16.0"" QHD+ 120Hz",,
"https://laptop88.vn/media/product/8029_12390_msi_prestige_14evo_b13m__3__1_.jpg","[New 100%] Laptop MSI Prestige 14Evo B13M 401VN - Intel Core i5 -13500H | 14 Inch Full HD+ IPS","28.990.000đ","25.990.000 đ","","16GB LPDDR5","SSD 512GB NVMe","Intel Iris Xe Graphics","14"" FHD+ IPS",,
"https://laptop88.vn/media/product/8028_","[New 100%] Laptop MSI Modern 14 C7M 083VN - AMD Ryzen 5 - 7530U | 14 Inch FHD IPS","15.990.000đ","13.690.000 đ","","8GB DDR4","SSD 512GB NVMe","AMD Radeon Graphics","14"" FHD IPS",,
"https://laptop88.vn/media/product/8026_untitled_1.jpg","[New 100%] Laptop  MSI Modern 15 B7M 098VN - AMD Ryzen 7 - 7730U | 15.6 Inch FHD IPS","17.990.000đ","14.990.000 đ","","8GB DDR4","SSD 512GB NVMe","AMD Radeon Graphics","15.6"" FHD IPS",,
"https://laptop88.vn/media/product/8023_","[New 100%] Laptop MSI Raider GE77 HX 12UGS 230VN - Intel Core i9-12900HX  | RTX 3070Ti GDDR6 | 17.3 Inch QHD 240Hz","63.990.000đ","61.490.000 đ","","32GB DDR5","SSD 2TB NVMe","Nvidia RTX 3070Ti ","17.3"" QHD 240Hz",,
"https://laptop88.vn/media/product/8022_untitled_1.jpg","[New 100%] Laptop MSI Raider GE67 HX 12UGS 097VN Intel Core i9 -12900HX | RTX3070Ti GDDR6 | 15.6 Inch OLED QHD ","63.990.000đ","56.990.000 đ","","32GB DDR5","SSD 1TB NVMe","Nvidia RTX 3070Ti ","15.6"" QHD OLED",,
"https://laptop88.vn/media/product/8019_2.jpg","[New 100%] Laptop Asus Vivobook Pro 14X OLED N7401ZE-M9028W - Intel Core i7 - 12700H | RTX 3050 Ti 4GB | 14.5 Inch 2.8K OLED","35.990.000đ","31.990.000 đ","","16GB LPDDR5","SSD 512GB NVMe","","",,
"https://laptop88.vn/media/product/8017_7896_7716_7015_6904_dell_inspiron_15_3511_70270650_1.jpg","Laptop Cũ Dell Inspiron 15 3511 - Intel Core i5-1135G7 | 16GB | 15.6 Inch Full HD","19.990.000đ","10.590.000 đ","i5-1135G7","16GB DDR4","SSD 512GB","Intel Iris Xe Grapchis","15.6"" Full HD",,
"https://laptop88.vn/media/product/8014_untitled_1.jpg","[New 100%] Laptop Asus Vivobook X1402ZA-EK098W - Intel Core i3 - 1220P | 14 Inch Full HD","","Liên Hệ","","8GB DDR4","SSD 256GB NVMe","","14"" FHD IPS",,
"https://laptop88.vn/media/product/8013_untitled_2.jpg","[New 100%] Laptop Asus VivoBook 15X OLED A1503ZA-L1150W - Intel Core i3 - 1220P | 15.6 Inch Full HD OLED","","Liên Hệ","","8GB DDR4","SSD 256GB NVMe","","15.6"" FHD OLED",,
"https://laptop88.vn/media/product/7996_lenovo_thinkpad_z13_amd_13_1.jpg","[New 100%] Laptop Lenovo ThinkPad Z13 - AMD Ryzen 5 Pro 6650u | 16GB | 13 inch WUXGA","","Liên Hệ","Ryzen 5 Pro","16 GB ","SSD 256GB","AMD Radeon","13.3"" WUXGA",,
"https://laptop88.vn/media/product/7995_48923_lenovo_thinkpad_x13s_gen_1_qualcomm_snapdragon_8cx_gen_3_black_a4.gif"," [New 100%] Laptop Lenovo ThinkPad X13s Gen 1 - Snapdragon 8cx Gen 3 | RAM 16GB | 512GB","","Liên Hệ","Snapdragon 8cx","16 GB ","SSD 512GB","Qualcomm Adreno","13.3"" FHD+",,
"https://laptop88.vn/media/product/7981_gu603zx_k8025w_5_600x600.jpg","[New 100%] Laptop Asus ROG Zephyrus M16 GU604VI-NM779W - Intel Core i9 - 13900H | RTX4070 | 16 Inch QHD 240Hz","80.990.000đ","72.990.000 đ","","32GB DDR5","SSD 1TB NVMe","","16"" QHD 240Hz",,
"https://laptop88.vn/media/product/7979_scar_17_6.jpg","[New 100%] Laptop ASUS ROG Strix SCAR 17 G733PZ LL980W - AMD Ryzen 9-7945HX | RTX4080 | 17.3 Inch WQHD 240Hz","90.990.000đ","76.990.000 đ","","32GB DDR5","SSD 1TB NVMe","","17.3 "" WQHD 240Hz",,
"https://laptop88.vn/media/product/7978_4d158520_6c42_4f8b_8f4f_6f236fb50a44.png","[New 100%] Laptop ASUS ROG Flow X16 GV601VV NL016W - Intel Core i9-13900H | RTX4060 | 16 Inch QHD 240Hz","","59.490.000 đ","","16GB DDR5","SSD 1TB NVMe","","16"" QHD 240Hz",,
"https://laptop88.vn/media/product/7977_","[New 100%] Laptop Asus ROG Strix G16 G614JI-N4084W - Intel Core i7-13650HX |  RTX 4070 8GB | 16 Inch QHD+240Hz","60.990.000đ","54.990.000 đ","i7-13650HX","16GB DDR5","SSD 1TB NVMe","Nvidia RTX 4070 8GB","16"" QHD+ 240Hz ",,
"https://laptop88.vn/media/product/7976_laptop_asus_rog_strix_g153_g513ie_hn246w_ryzen_7_4800h__8gb__512gb__rtx_3050ti_4gb__15.jpg","[New 100%] Laptop Asus ROG Strix G18 G814JI-N6063W - Intel Core i9 - 13980HX | RTX 4070 8GB  | 18 Inch QHD+ 240Hz","","64.490.000 đ"," i9-13980HX "," 32GB DDR5","SSD 1TB NVMe","Nvidia RTX 4070 8GB","18"" QHD+ 240Hz ",,
"https://laptop88.vn/media/product/7973_1024__2_.png","[New 100%] Laptop MSI Raider GE78HX 13VH-076VN - Intel Core i9 -13950HX | RTX 4080 | 17 Inch QHD 240Hz","129.000.000đ","118.900.000 đ","i9-13950HX","64GB DDR5","SSD 4TB NVMe","Nvidia RTX 4080","17"" Full HD 240Hz",,
"https://laptop88.vn/media/product/7972_pc_portable_msi_titan_gt77hx_13vh_029fr_17_3_intel_core_i9_13980hx_64_go_ram_2_to_d_noir.jpg","[New 100%] Laptop MSI Titan GT77HX 13VI-077VN - Intel Core i9 -13980HX | RTX 4090 | 17.3 Inch UHD  144Hz","159.000.000đ","148.990.000 đ","i9-13980HX","64GB DDR5","SSD 4TB NVMe","Nvidia  RTX 4090","17.3"" UHD 144Hz",,
"https://laptop88.vn/media/product/7970_katana_15_b13vx_1.png","[New 100%] Laptop MSI Katana 15 B13VFK 676VN - Intel Core i7 - 13620H | RTX 4060 | 15.6 Inch Full HD 144Hz","38.990.000đ","32.990.000 đ","i7-13620H","16GB DDR5","SSD 1TB NVMe","Nvidia RTX 4060","15.6"" Full HD 144Hz",,
